Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Western Sahara,,1.67716,1.70219,1.70219,1.70219,1.69754,1.92466,1.70219,1.80197,1.70219,1.70219,1.70219,1.70219
Zambia,,10.2403,2.8069,2.744,2.65816,2.5241,2.44633,3.08997,2.566,2.34592,2.70047,1.27205,1.27205
Zimbabwe,,26.0618,20.50756,21.54203,17.8863,13.37478,15.8046,13.83373,13.1443,12.65074,12.49786,13.29304,13.29304
Afghanistan,,4.94145,4.69249,4.78504,3.81301,4.11989,4.53433,4.40441,4.51211,5.19301,36.25321,36.25321,36.25321
American Samoa,,3.7441,3.75436,3.81732,3.81732,3.80689,4.0657,4.14,4.44,2.697,4.14,2.00315,2.00315
Australia,,85.33937,84.42247,98.74449,142.29616,197.45126,217.55375,239.01827,244.66016,297.95388,342.29392,304.07077,304.07077
Bangladesh,,37.33814,50.91564,54.21112,53.54271,56.0365,57.26211,62.60485,64.26611,69.968,77.29424,84.49323,84.49323
Bhutan,,0.97975,1.04742,1.0883,1.12992,1.13814,1.15184,1.16811,1.54893,1.59003,1.99597,1.99819,1.99819
Brunei,,0.43738,0.15712,0.37214,0.39693,0.66005,0.304,0.23759,0.13797,1.01586,1.9691,3.19844,3.19844
Burma (Myanmar),,15.32863,12.62025,10.16137,14.49181,19.18096,22.18493,18.25493,19.70395,12.73022,9.64658,4.85523,4.85523
Cambodia,,17.45619,20.47167,21.9406,23.73658,26.46307,28.01786,30.9749,33.20205,34.33825,32.29795,26.25466,26.25466
China,,565.00497,589.22068,698.652,796.51109,911.2,871.27285,915.19162,873.13912,941.34249,1102.29132,971.49847,971.49847
Cook Islands,,0.38721,0.38827,0.38827,0.38827,0.42926,0.47553,0.49496,0.4643,0.48474,0.48474,0.48474,0.48474
Fiji,,11.12578,12.38595,13.836,18.15747,19.94578,19.55815,20.34178,18.85364,16.1104,10.12764,10.04841,10.04841
French Polynesia,,4.57628,4.58882,4.82458,5.73433,5.67751,6.27107,6.70126,6.61132,7.2463,6.99396,7.19047,7.19047
Guam,,18.58219,20.21118,13.65803,15.39726,12.12568,13.52603,14.2274,12.71233,0,6.81918,6.57882,6.57882
Hawaiian Trade Zone,,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,,282.18235,273.52611,273.52849,299.36438,344.23939,373.37008,355.89964,349.67334,320.71244,385.29355,397.35178,397.35178
India,,136.43582,155.75038,179.58833,166.68932,186.43522,220.44359,362.37595,439.796,380.8536,324.74458,379.62575,379.62575
Indonesia,,214.39,275.17211,283.41282,280.49671,339.95383,385.6531,363.08348,437.44195,407.7431,417.58679,473.41027,473.41027
Japan,,1255.15921,1174.544,1206.69633,1237.57364,1214.64888,1182.61523,1201.32855,1090.52562,549.48,1209.73019,1310.7543,1310.7543
Kiribati,,0.16727,0.16773,0.21696,0.21696,0.21637,0.25912,0.26077,0.28414,0.26077,0.42036,0.42024,0.42024
Korea North,,30.57568,12.398,12.43668,12.73603,12.13336,8.57704,6.54792,7.80553,7.96682,6.06981,5.7866,5.7866
Korea South,,575.9662,572.60101,647.56353,620.39945,546.01178,509.516,542.50948,585.22192,199.37123,759.19036,794.02559,794.02559
Laos,,2.72932,2.73679,2.85181,2.93852,2.89773,3.03595,3.08033,3.13364,3.18357,3.15988,3.15988,3.15988
Macau,,10.16893,10.72567,11.72559,12.26068,15.03035,12.59173,15.23216,15.40227,7.88018,12.36675,10.22733,10.22733
Malaysia,,137.87735,146.15008,149.12075,154.11186,145.27959,154.20268,157.34329,152.25734,178.18296,175.27825,175.05888,175.05888
Maldives,,4.6527,4.65625,5.59918,8.65822,6.38954,5.36211,5.40625,6.088,6.23693,6.94142,6.94007,6.94007
Mongolia,,8.49533,9.86241,10.67178,10.34825,12.27549,12.63121,13.88156,15.37562,18.16395,16.52548,17.35553,17.35553
Nauru,,0.96495,0.96759,1.00756,1.00756,1.02301,1.04918,1.02581,1.04405,1.04405,1.07541,1.07541,1.07541
Nepal,,14.90361,15.25786,15.6193,15.67241,16.15372,16.71896,16.9189,13.7449,17.24668,19.98597,21.95784,21.95784
New Caledonia,,8.83869,8.8629,10.26633,10.26633,11.97784,11.78318,14.42797,14.33197,14.54614,14.66614,14.6661,14.6661
New Zealand,,25.52836,27.53932,29.58348,32.4509,44.78246,39.9491,43.88863,52.61274,44.79992,51.77658,41.16885,41.16885
Niue,,0.02038,0.02044,0.02044,0.02044,0.02038,0.02657,0.03066,0.0327,0.02257,0.02257,0.02257,0.02257
Pakistan,,192.88022,182.26268,163.51348,145.16668,113.77639,119.45151,152.39671,163.41882,195.67932,207.6529,227.07134,227.07134
Papua New Guinea,,14.20437,14.24329,22.03548,25.17555,24.01735,24.15274,14.37684,14.77132,7.20138,5.93348,5.93651,5.93651
Philippines,,71.28497,67.19951,94.02225,102.91515,153.78342,136.18701,103.45378,139.14755,134.24384,158.14218,147.86603,147.86603
