Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,22.46135,22.50746,23.60009,25.00539,25.69764,26.3347,27.15439,27.38708,27.70572,28.48363,29.12073,29.75757
American Samoa,0.05777,0.05761,0.0574,0.05718,0.05709,0.05695,0.05665,0.05635,0.05605,0.05575,0.05547,0.0552
Australia,19.05319,19.29426,19.53494,19.76654,19.99508,20.23235,20.48947,20.74963,21.00731,21.26264,21.51575,21.76671
Bangladesh,132.15077,134.47753,136.86984,139.30503,141.7344,144.13874,146.51711,148.89374,151.28999,153.70033,156.11846,158.57054
Bhutan,0.60587,0.61598,0.62594,0.63576,0.64541,0.6549,0.66421,0.67335,0.68232,0.69114,0.69985,0.70843
Brunei,0.3253,0.33265,0.33999,0.34726,0.35431,0.36111,0.36782,0.37458,0.38137,0.38819,0.39503,0.40189
Burma (Myanmar),47.43887,48.08106,48.71575,49.34468,49.9622,50.57209,51.16167,51.75584,52.22815,52.82612,53.41437,53.9998
Cambodia,12.35115,12.53961,12.7292,12.92071,13.10994,13.2974,13.49871,13.71869,13.95701,14.20623,14.45368,14.70172
China,1263.63753,1270.74423,1277.59472,1284.30332,1291.0018,1297.76532,1304.26188,1310.58354,1317.06568,1323.59158,1330.14129,1336.71801
Cook Islands,0.01631,0.01573,0.01515,0.0146,0.01409,0.0136,0.01313,0.01269,0.01227,0.01187,0.01149,0.01112
Fiji,0.80493,0.81073,0.81667,0.82318,0.82982,0.83656,0.84395,0.85211,0.86054,0.8685,0.87598,0.88313
French Polynesia,0.23587,0.2401,0.24419,0.24775,0.2508,0.25376,0.2568,0.25984,0.26288,0.26592,0.26882,0.27169
Guam,0.15532,0.15634,0.15706,0.15758,0.15802,0.1584,0.15871,0.15897,0.15917,0.15932,0.15943,0.1596
Hawaiian Trade Zone,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,6.65872,6.71338,6.76248,6.80974,6.85513,6.89869,6.94043,6.98041,7.01864,7.05507,7.08971,7.12251
India,1006.3003,1023.29508,1040.28482,1057.25112,1074.15902,1090.97303,1107.62435,1124.1348,1140.56621,1156.89777,1173.10802,1189.17291
Indonesia,214.85766,218.03563,221.18809,223.34763,226.40309,229.24475,232.19925,235.09899,237.93881,240.71469,243.42274,246.06516
Japan,126.77561,127.1086,127.37138,127.55225,127.69375,127.71536,127.72757,127.77904,127.78774,127.70429,127.57915,127.46954
Kiribati,0.08512,0.08676,0.08826,0.0897,0.09112,0.09259,0.09406,0.09548,0.09686,0.09819,0.09948,0.10074
Korea North,22.78497,22.97736,23.16503,23.33047,23.47673,23.62092,23.76438,23.90767,24.05064,24.19092,24.3257,24.45749
Korea South,46.83884,47.17781,47.43728,47.65663,47.85385,48.00516,48.12356,48.25015,48.37939,48.50897,48.63607,48.75466
Laos,5.39741,5.49852,5.57803,5.654,5.74604,5.83636,5.93079,6.03541,6.14518,6.25687,6.36816,6.47721
Macau,0.43174,0.43478,0.43898,0.44418,0.45523,0.47403,0.49943,0.52553,0.54567,0.55985,0.56796,0.573
Malaysia,23.15128,23.73736,24.28261,24.8804,25.47547,25.96812,26.43216,26.89556,27.35776,27.81787,28.27473,28.72861
Maldives,0.29998,0.30591,0.31186,0.31849,0.3266,0.33625,0.34812,0.36497,0.38593,0.39633,0.39565,0.395
Micronesia,0.10772,0.10791,0.10803,0.10811,0.10813,0.10808,0.10799,0.10785,0.10767,0.10743,0.10715,0.10684
Mongolia,2.66376,2.70447,2.74455,2.78408,2.82457,2.86599,2.9084,2.95179,2.99608,3.04114,3.08692,3.13332
Nauru,0.00986,0.00989,0.00992,0.00993,0.00997,0.01001,0.00957,0.00912,0.00916,0.00921,0.00927,0.00932
Nepal,24.81816,25.33561,25.81505,26.27538,26.70832,27.09387,27.45895,27.82789,28.19696,28.56338,28.95185,29.39188
New Caledonia,0.21119,0.21528,0.21944,0.22369,0.22802,0.2324,0.23651,0.24045,0.24445,0.24841,0.25235,0.25627
New Zealand,3.8024,3.83788,3.89846,3.96028,4.00817,4.04822,4.08996,4.13234,4.17346,4.21342,4.25228,4.29035
Niue,0.002,0.00212,0.00213,0.00215,0.00216,0.00198,0.00182,0.00166,0.00153,0.0014,0.0014,0.0014
Pakistan,152.42904,156.79544,160.26923,163.16564,166.22361,169.27864,172.38187,175.49508,178.47939,181.45728,184.40479,187.34272
