Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Botswana,13.96549,11.53437,11.08044,11.08044,13.4876,14.51945,15.19597,15.59025,19.05992,18.37685,19.35723,20,15.45397
Burkina Faso,7.47932,7.58405,7.78482,8.05118,8.15847,8.3254,8.4473,9.47236,13.39786,11.64434,11.89304,12,10.06903
Burundi,2.6365,2.79792,2.83005,2.94397,2.68691,2.63499,2.55655,2.35477,1.32228,1.45997,1.45614,1.4,2.27415
Cameroon,22.73397,22.53761,22.45295,23.49668,23.5227,23.7977,26.12573,29.34945,30.69734,33.43015,36.47936,35,29.50744
Cape Verde,1.50432,1.04816,1.12375,1.12375,2.07975,1.80208,1.98396,2.33581,2.40741,2.64622,2.64622,2.7,2.68771
Central African Republic,2.19522,2.23992,2.32882,2.32882,2.20123,2.09564,2.20323,2.41773,2.48107,2.31756,2.31756,2.3,2.94958
Chad,1.3418,1.36885,1.4123,1.4123,1.31648,1.4511,1.57085,1.83655,1.75351,1.75351,1.75351,1.8,1.84839
Comoros,0.64164,0.66677,0.68849,0.68849,0.70907,0.75537,0.7662,0.96677,1.00923,1.00923,0.87707,1,1.05098
Congo (Brazzaville),4.40018,5.5859,4.82963,6.04204,6.71131,7.55155,8.22608,9.06468,9.9771,11.67338,13.61273,13,11.8683
Congo (Kinshasa),14.15525,9.53329,8.08926,8.13277,11.31749,11.60485,11.26252,12.96953,11.50274,11.4889,14.7089,12,9.73037
Cote dIvoire (IvoryCoast),32.90027,21.72496,23.14564,22.91255,26.87154,27.68965,27.45031,24.8448,28.32849,26.9848,27.54777,28,23.63793
Djibouti,11.20582,11.38219,11.40044,11.6506,11.84262,11.70542,11.45673,11.21052,7.96741,8.0696,8.0696,9,11.61347
Egypt,552.80492,544.66808,564.70081,561.10781,603.91593,625.23999,658.44207,693.53286,700.72219,720.71308,737.623,745,755
Equatorial Guinea,1.53156,1.14877,1.14877,1.19332,1.02626,1.06995,1.11449,1.7286,5.19704,3.11923,5.36507,4,2.46784
Eritrea,4.16475,4.92858,4.58934,5.18296,4.86967,4.87249,4.86392,4.52233,2.73345,3.33025,3.25192,3,4.67269
Ethiopia,22.72645,23.30833,25.63893,27.55088,28.59179,29.81233,33.71227,37.32893,46.99458,45.59529,42.32852,47,54.10622
Gabon,12.14297,12.52712,11.93556,12.58462,12.72441,12.66823,13.89145,15.46326,19.63693,14.30074,16.53582,14,15.8363
Gambia, The,1.78975,1.91729,1.96696,1.99033,2.0082,2.08162,2.22466,2.76578,2.8709,3.11753,3.39282,3,3.25811
Ghana,36.96133,36.26958,38.64913,41.5376,45.29787,45.95419,46.97457,47.66395,44.3743,53.87233,64.72961,65,63.94614
Guinea,8.21238,8.30436,8.36203,8.4029,8.48115,8.74384,8.67433,8.55882,8.96998,9.08902,9.08902,9,8.72562
Guinea-Bissau,2.2973,2.32403,2.40518,2.46942,2.46268,2.56022,2.54501,2.62819,2.57767,2.66142,2.66142,2.7,2.96793
Kenya,56.80086,51.92744,51.17241,54.20291,59.17774,65.8089,73.154,73.05641,67.8197,75.64327,79.84501,81,81.44677
Lesotho,1.4,1.4,1.4,1.4,1.4,1.5,1.5529,1.69,1.813,1.5529,3.71107,3,1.80701
Liberia,2.93596,3.0951,3.35734,3.45674,3.50918,3.54904,4.14072,4.52901,4.04057,3.75019,3.64909,4,3.64747
Libya,210.28254,225.1721,233.34913,244.08873,254.51024,264.92641,267.90918,271.29016,257.66729,262.92953,280.32303,130,170.35787
