Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Seychelles,0.093,0.093,0.093,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089
Sierra Leone,0.055,0.033,0.041,0.041,0.04,0.04,0.046,0.031,0.031,0.031,0.081,0.081
Somalia,0.06,0.06,0.06,0.06,0.06,0.065,0.06,0.08,0.08,0.08,0.08,0.08
South Africa,46.123,41.921,41.89,41.89,41.89,42.09,42.697,42.913,44.274,44.256,44.248,44.283
Sudan and South Sudan,0.842,0.868,0.871,0.958,1.008,1.031,1.13,1.131,1.338,2.338,2.338,3.038
Swaziland,0.107,0.107,0.128,0.128,0.128,0.128,0.129,0.129,0.148,0.149,0.149,0.149
Tanzania,0.862,0.862,0.884,0.881,0.881,0.919,0.957,0.957,0.957,0.841,0.841,0.845
Togo,0.092,0.092,0.048,0.048,0.058,0.068,0.078,0.084,0.085,0.085,0.085,0.083
Tunisia,2.4363,2.885,2.89,2.962,3.084,3.303,3.337,3.197,3.336,3.532,3.614,4.076
Uganda,0.28,0.303,0.303,0.303,0.303,0.303,0.403,0.403,0.527,0.492,0.539,0.5717
Western Sahara,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058
Zambia,1.685,1.685,1.685,1.685,1.706,1.7,1.7,1.7,1.7,1.819,1.819,1.819
Zimbabwe,1.965,2.099,2.099,2.099,2.099,2.005,2.005,2.063,2.107,2.11,1.978,1.966
Afghanistan,0.407,0.498,0.491,0.489,0.489,0.489,0.489,0.489,0.48907,0.48907,0.48907,0.48907
American Samoa,0.05,0.058,0.058,0.058,0.06,0.045,0.045,0.045,0.045,0.045,0.045,0.045
Australia,46.208,47.008,49.733,51.044,51.22,50.191,50.642,53.417,54.401,57.076,60.012,61.939
Bangladesh,3.6005,3.6005,4.681,4.681,4.712,4.7134,5.2509,5.2534,5.46415,5.73515,5.85665,6.35665
Bhutan,0.4257,0.442,0.442,0.457,0.462,0.485,1.505,1.505,1.505,1.505,1.505,1.505
Brunei,0.763,0.761,0.761,0.86,0.874,0.759,0.759,0.759,0.759,0.759,0.759,0.759
Burma (Myanmar),1.151,1.19,1.19,1.205,1.562,1.69,1.684,1.717,1.748,2.544,3.413,3.413
Cambodia,0.13,0.15,0.167,0.186,0.1891,0.2322,0.34461,0.3857,0.38419,0.37188,0.35988,0.57492
China,324.9478,344.4348,363.4668,397.5938,448.7684,524.2088,630.9988,725.4028,806.412,890.362,987.935,1100.493
Cook Islands,0.00805,0.00805,0.00805,0.00805,0.00809,0.00809,0.00809,0.00809,0.00809,0.00809,0.00809,0.00809
Fiji,0.20326,0.20306,0.20306,0.20306,0.20406,0.22406,0.22406,0.24406,0.24506,0.24506,0.24506,0.24506
French Polynesia,0.1165,0.137,0.152,0.176,0.1755,0.176,0.176,0.224,0.224,0.224,0.224,0.224
Guam,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.553,0.553,0.552,0.552,0.552
Hawaiian Trade Zone,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,11.568,11.568,11.606,11.683,11.683,11.804,12.3808,12.6448,12.6248,12.6248,12.6248,12.6248
India,111.808,122.511,126.888,131.507,139.0168,147.1748,155.42384,168.93242,176.78412,189.162,207.722,237.901
Indonesia,22.303,22.7411,22.7451,26.2331,26.4651,27.9451,31.08211,31.6567,31.0649,33.3201,35.3321,41.0051
Japan,258.487,261.787,266.258,268.73,273.368,275.336,276.83,277.159,279.876,282.46,284.888,287.43
Kiribati,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.005,0.005,0.005,0.005,0.005
Korea North,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5002,9.5002,9.5002,9.5002
Korea South,52.967,56.987,58.171,60.854,63.666,66.171,69.819,73.108,79.79,80.577,85.644,84.874
Laos,0.639,0.639,0.674,0.723,0.7226,0.731,0.731,0.731,0.731,1.855,1.895,2.61
Macau,0.352,0.352,0.397,0.489,0.488,0.488,0.472,0.472,0.472,0.472,0.472,0.472
Malaysia,13.762,14.813,15.671,20.119,24.432,23.333,22.616,22.97301,23.35401,25.38501,27.09301,28.40401
Maldives,0.036,0.037,0.044,0.049,0.049,0.04901,0.05801,0.06101,0.07501,0.07501,0.07708,0.07708
Mongolia,0.832,0.832,0.832,0.83221,0.83221,0.83221,0.83221,0.83221,0.8342,0.8332,0.8332,0.8332
Nauru,0.01,0.01,0.01,0.01,0.007,0.004,0.004,0.006,0.006,0.006,0.006,0.006
Nepal,0.389,0.439,0.639,0.639,0.632,0.611,0.617,0.617,0.717,0.717,0.721,0.746
New Caledonia,0.329,0.33,0.33,0.335,0.371,0.371,0.371,0.399,0.449,0.499,0.499,0.499
New Zealand,8.352,8.451,8.509,8.554,8.747,8.83,8.842,9.392,9.347,9.376,9.611,9.722
Niue,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Pakistan,17.737,18.001,17.921,19.215,19.345,19.413,19.382,19.383,19.755,20.89,22.121,22.741
Papua New Guinea,0.539,0.542,0.638,0.644,0.62,0.65,0.664,0.684,0.7,0.7,0.7,0.7
Philippines,13.264,13.456,14.702,15.1245,15.595,15.619,15.803,15.936,15.673,15.58,16.321,16.264
Samoa,0.0294,0.032,0.037,0.039,0.0394,0.0402,0.0412,0.0413,0.0421,0.0421,0.0421,0.0421
Singapore,6.63,7.542,7.18,7.388,9.529,10.126,10.805,10.97,10.463,9.991,10.53,10.487
Solomon Islands,0.014,0.014,0.014,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036
Sri Lanka,2.1084,2.2244,2.2314,2.2234,2.31,2.412,2.445,2.435,2.646,2.685,2.785,3.147
Taiwan,34.5121,35.2732,37.8328,39.851,41.6931,42.8999,44.8321,45.6581,46.1775,47.8124,48.7195,48.6987
Thailand,28.13345,28.53745,30.00645,30.65445,38.14445,33.94845,29.75145,36.81745,41.4647,47.3757,48.23772,48.51472
Timor-Leste (East Timor),--,--,0,0,0,0,0,0,0,0,0,0
Tonga,0.008,0.01,0.01,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.014,0.014
U.S. Pacific Islands,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052
Vanuatu,0.016,0.021,0.021,0.021,0.021,0.021,0.021,0.024,0.028,0.028,0.028,0.028
Vietnam,6.249,8.323,8.569,9.029,11.6,12.255,12.83,13.85,14.516,15.186,15.209,22.06
Wake Island,0,0,0,0,0,0,0,0,0,0,0,0
