Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Malawi,0.88301,0.85623,0.91631,0.90983,1.03888,1.09358,1.14856,1.15888,1.19386,0.96045,0.96517,0.95687
Mali,0.56677,0.56675,0.6209,0.62721,0.64956,0.71954,0.6528,0.67137,0.70006,0.6975,0.6975,0.74231
Mauritania,3.24359,3.17648,3.05756,3.15102,2.63305,3.162,2.83296,2.71455,2.75747,1.89251,1.89251,1.77353
Mauritius,3.4897,4.05258,3.60123,3.71196,3.94853,4.09567,4.43513,4.92132,4.8657,4.33484,4.62239,5.05954
Morocco,31.19852,33.75202,33.69205,34.44293,33.20228,34.59597,35.67096,36.10856,37.23465,41.82644,43.29258,43.7109
Mozambique,1.27945,1.499,1.67709,1.8158,2.13182,2.35589,2.77375,2.50956,2.37787,2.53643,2.55343,3.426
Namibia,1.80901,2.17325,2.21985,2.43584,2.56774,2.62162,2.9183,3.10524,3.9338,3.60343,3.33619,3.21683
Niger,1.12491,1.14989,1.2312,1.26111,1.36555,1.26104,1.2189,1.25876,1.29303,1.28835,1.29147,1.27217
Nigeria,80.75236,91.51444,90.93528,92.77032,92.26493,105.99749,101.55191,99.12938,99.10262,68.03084,73.69287,75.96339
Reunion,2.51009,2.60828,2.58938,2.58572,2.6371,2.71849,2.73934,2.7864,2.82325,2.9352,2.9352,3.00508
Rwanda,0.76623,0.77279,0.77635,0.78574,0.76347,0.81206,0.83188,0.74268,0.72452,0.7649,0.76073,0.86513
Saint Helena,0.02224,0.0127,0.01271,0.0127,0.00953,0.0127,0.01176,0.01275,0.01355,0.00957,0.00957,0.0091
Sao Tome and Principe,0.09211,0.09209,0.09527,0.09525,0.09531,0.09843,0.10789,0.13358,0.13523,0.13347,0.13479,0.15161
Senegal,4.42907,4.40996,4.458,4.4974,5.30289,5.70733,5.89957,6.03805,6.08381,5.88974,5.95148,7.08837
Seychelles,0.58764,0.60351,0.88326,0.86951,0.89833,0.88168,1.19843,0.9805,1.0274,1.1718,0.98154,1.0878
Sierra Leone,0.91835,0.93792,0.95384,0.97499,1.15819,1.15811,1.14527,1.24547,1.26054,1.39873,1.39873,1.49234
Somalia,0.72425,0.72227,0.72381,0.72359,0.72577,0.73378,0.76306,0.86172,0.86754,0.81363,0.81363,0.75344
South Africa,386.01434,392.72296,379.97667,412.73435,442.19732,432.41292,444.38701,457.02175,489.96991,477.55845,473.15466,461.56503
Sudan and South Sudan,6.51119,7.46601,8.65922,9.80423,10.75862,11.41242,12.39016,11.97678,12.10186,18.12932,18.57161,18.46477
Swaziland,0.97204,0.97946,0.93121,0.88268,0.8731,0.74616,0.92006,1.04933,1.03299,0.98085,0.99037,1.02436
Tanzania,2.72488,3.08156,3.50328,3.67251,4.20058,5.04783,5.44338,5.84354,6.19648,6.74444,6.43978,7.2284
Togo,1.40118,1.00469,1.29214,2.15172,2.26541,2.27052,2.33147,2.55256,2.74497,1.32946,1.41194,1.44472
Tunisia,19.66527,21.42636,21.16646,20.81049,21.11623,22.28893,21.27892,18.87414,19.01482,18.79229,19.1636,20.51621
Uganda,1.2643,1.39438,1.46217,1.59229,1.6085,1.68655,1.91606,2.03914,1.96576,3.27832,3.39006,3.24425
Western Sahara,0.26633,0.26951,0.26952,0.2695,0.26956,0.30484,0.2695,0.28345,0.3146,0.2695,0.2695,0.31665
Zambia,1.8966,2.05702,2.1319,2.23244,2.23603,2.44161,2.30993,2.2494,2.2498,1.95342,2.19568,2.43373
Zimbabwe,13.71982,13.14709,12.52968,11.23029,9.84978,10.73974,10.03085,10.03041,8.13583,8.43746,9.13347,8.87463
Afghanistan,1.33551,0.84677,0.84782,0.67863,0.72232,0.76961,0.76614,1.31364,1.59156,6.40949,6.62528,6.58917
American Samoa,0.56412,0.5641,0.57366,0.5736,0.57365,0.60847,0.60258,0.65556,0.66442,0.60258,0.2846,0.42623
Australia,356.31114,370.05808,374.58991,376.07884,387.85511,412.61375,419.27045,423.79086,425.2362,424.33208,423.70762,392.28605
Bangladesh,29.35909,32.52105,34.22718,36.88772,39.12393,41.4297,45.13427,46.86245,51.02895,55.46474,56.97006,58.80612
Bhutan,0.2924,0.27495,0.30248,0.25724,0.21923,0.24904,0.23691,0.28865,0.28389,0.33163,0.33542,0.33568
Brunei,3.79427,4.22193,4.85702,5.18045,5.78367,6.78741,10.18528,10.4931,10.74226,7.34798,8.44944,8.6563
Burma (Myanmar),10.0648,9.93131,10.88585,12.66781,12.73544,16.26988,15.02226,16.02392,14.84,11.90408,11.90701,13.6666
Cambodia,2.15153,2.53814,2.74804,3.01006,3.35192,3.56517,3.85899,4.20535,4.17976,4.08155,4.10147,4.39003
